Case	Image1	Image2	Image3	Image4	Image5
112	88.9	88.9	100.0	77.8	88.9
113	88.9	77.8	77.8	88.9	77.8
114	77.8	100.0	77.8	100.0	77.8
115	100.0	77.8	66.7	100.0	88.9
116	66.7	77.8	100.0	77.8	100.0
117	88.9	100.0	100.0	88.9	66.7
118	100.0	100.0	100.0	100.0	100.0
119	77.8	88.9	77.8	88.9	88.9
120	77.8	100.0	100.0	100.0	100.0
121	88.9	100.0	66.7	77.8	77.8
122	66.7	44.4	77.8	55.6	66.7
123	100.0	100.0	100.0	100.0	100.0
124	66.7	66.7	22.2	44.4	44.4
125	66.7	44.4	66.7	66.7	77.8
126	66.7	66.7	44.4	0.0	11.1
127	88.9	100.0	88.9	100.0	88.9
128	55.6	55.6	66.7	77.8	77.8
129	77.8	44.4	66.7	66.7	66.7
130	77.8	77.8	77.8	77.8	77.8
131	44.4	100.0	100.0	44.4	44.4
132	66.7	88.9	0.0	44.4	88.9
133	44.4	55.6	44.4	44.4	55.6
134	77.8	100.0	100.0	77.8	100.0
135	77.8	55.6	100.0	55.6	88.9
136	77.8	88.9	66.7	66.7	88.9
137	100.0	100.0	100.0	100.0	100.0
138	77.8	88.9	77.8	66.7	66.7
139	77.8	88.9	88.9	77.8	100.0
140	100.0	77.8	44.4	77.8	77.8
141	100.0	88.9	66.7	100.0	100.0
142	77.8	88.9	66.7	77.8	77.8
143	44.4	66.7	44.4	55.6	66.7
144	100.0	77.8	77.8	100.0	77.8
145	100.0	100.0	100.0	100.0	100.0
146	44.4	77.8	44.4	66.7	66.7
147	44.4	66.7	77.8	33.3	44.4
148	77.8	77.8	44.4	66.7	66.7
149	77.8	77.8	0.0	55.6	44.4
150	66.7	100.0	66.7	77.8	77.8
151	100.0	100.0	66.7	88.9	77.8
152	77.8	77.8	77.8	77.8	77.8
153	44.4	100.0	77.8	100.0	100.0
154	0.0	0.0	100.0	100.0	100.0
155	88.9	88.9	66.7	55.6	66.7
156	77.8	77.8	66.7	77.8	77.8
157	77.8	55.6	55.6	77.8	55.6
158	77.8	88.9	88.9	88.9	88.9
159	44.4	66.7	22.2	44.4	55.6
160	66.7	88.9	66.7	77.8	77.8
161	77.8	100.0	77.8	100.0	77.8
162	77.8	55.6	66.7	77.8	66.7
163	77.8	88.9	77.8	66.7	88.9
164	55.6	33.3	55.6	66.7	44.4
165	77.8	88.9	66.7	44.4	100.0
166	66.7	66.7	100.0	77.8	100.0
167	100.0	77.8	77.8	100.0	100.0
168	44.4	33.3	55.6	77.8	77.8
169	77.8	77.8	44.4	100.0	88.9
170	77.8	44.4	66.7	22.2	66.7
171	55.6	66.7	66.7	55.6	66.7
172	44.4	100.0	0.0	44.4	100.0
173	77.8	77.8	33.3	88.9	77.8
174	55.6	66.7	44.4	77.8	55.6
175	88.9	100.0	77.8	88.9	100.0
176	77.8	100.0	66.7	77.8	77.8
177	100.0	55.6	55.6	77.8	100.0
178	88.9	77.8	66.7	77.8	66.7
179	66.7	66.7	66.7	66.7	66.7
180	77.8	77.8	100.0	77.8	66.7
181	77.8	77.8	66.7	66.7	88.9
182	44.4	66.7	77.8	66.7	77.8
183	100.0	100.0	100.0	100.0	77.8
184	77.8	77.8	77.8	77.8	77.8
185	66.7	77.8	44.4	66.7	66.7
186	100.0	88.9	88.9	100.0	100.0
187	66.7	77.8	55.6	77.8	77.8
188	77.8	33.3	22.2	66.7	77.8
189	55.6	66.7	44.4	55.6	88.9
190	88.9	88.9	77.8	77.8	77.8
191	44.4	44.4	88.9	100.0	88.9
192	100.0	100.0	100.0	100.0	100.0
193	88.9	88.9	100.0	88.9	77.8
194	100.0	100.0	66.7	0.0	100.0
195	77.8	77.8	66.7	55.6	77.8
196	55.6	77.8	44.4	33.3	77.8
197	100.0	100.0	0.0	100.0	100.0
198	77.8	100.0	66.7	100.0	77.8
199	77.8	66.7	77.8	66.7	66.7
200	77.8	55.6	77.8	77.8	100.0
201	77.8	77.8	77.8	77.8	55.6
202	77.8	66.7	55.6	88.9	77.8
203	66.7	11.1	33.3	55.6	77.8
204	44.4	22.2	55.6	33.3	66.7
205	100.0	66.7	77.8	66.7	77.8
206	44.4	44.4	44.4	66.7	44.4
207	77.8	66.7	77.8	88.9	88.9
208	66.7	77.8	77.8	77.8	77.8
209	88.9	77.8	88.9	66.7	88.9
210	100.0	66.7	44.4	77.8	44.4
211	44.4	66.7	55.6	66.7	77.8
212	88.9	66.7	77.8	77.8	77.8
213	44.4	77.8	44.4	77.8	77.8
214	77.8	66.7	55.6	77.8	66.7
215	55.6	55.6	44.4	66.7	66.7
216	66.7	88.9	22.2	33.3	88.9
217	77.8	77.8	77.8	77.8	100.0
218	77.8	88.9	88.9	88.9	77.8
219	66.7	66.7	77.8	77.8	77.8
220	11.1	22.2	33.3	22.2	44.4
221	44.4	66.7	66.7	77.8	44.4
222	77.8	66.7	66.7	100.0	88.9
223	77.8	77.8	88.9	88.9	88.9
224	66.7	66.7	88.9	66.7	77.8
225	77.8	44.4	77.8	44.4	77.8
226	77.8	55.6	77.8	100.0	100.0
227	66.7	33.3	66.7	77.8	66.7
228	100.0	77.8	88.9	88.9	100.0
229	77.8	77.8	44.4	66.7	66.7
230	100.0	100.0	100.0	100.0	100.0
231	44.4	77.8	55.6	55.6	66.7
232	77.8	77.8	44.4	77.8	77.8
233	100.0	44.4	77.8	88.9	88.9
234	66.7	66.7	66.7	55.6	77.8
235	44.4	77.8	0.0	66.7	0.0
236	44.4	66.7	66.7	66.7	77.8
237	77.8	55.6	33.3	44.4	66.7
238	55.6	66.7	77.8	66.7	66.7
239	44.4	88.9	55.6	77.8	55.6
240	55.6	77.8	77.8	66.7	66.7
241	88.9	66.7	100.0	100.0	100.0
242	0.0	100.0	0.0	0.0	100.0
243	100.0	77.8	44.4	100.0	77.8
244	100.0	88.9	66.7	100.0	100.0
245	44.4	66.7	88.9	44.4	66.7
246	66.7	44.4	44.4	66.7	66.7
247	66.7	100.0	22.2	88.9	77.8
248	66.7	77.8	44.4	77.8	77.8
249	77.8	77.8	55.6	77.8	66.7
250	77.8	100.0	77.8	88.9	88.9
